simplified_snapshot,simplified_root_cause
"(7, 12, 14, 17, 25, 30)",12
"(7, 12, 14, 17, 30)",12
"(1, 7, 12, 14, 17, 25, 30)",1
"(7, 12, 14, 17, 25)",12
"(7, 12, 14, 17)",12
"(7, 11, 12, 14, 17, 25, 30)",12
"(1, 7, 12, 14, 17, 30)",1
"(7, 9, 10, 11, 12, 14, 17, 25, 30)",12
"(7, 12, 14, 17, 25, 30, 32)",12
"(7, 12, 14, 17, 20, 25, 30)",12
"(7, 9, 11, 12, 14, 17, 25, 30)",12
"(1, 7, 12, 14, 17, 25)",1
"(7, 14, 17, 20)",17
"(2, 5, 7, 12, 14, 17, 18, 20, 25, 30)",17
"(7, 12, 14, 17, 25, 28, 30)",12
"(7, 14, 17, 18, 20)",17
"(1, 7, 14, 17)",1
"(7, 12, 14, 17, 20, 30)",12
"(7, 9, 12, 14, 17, 25, 30)",12
"(7, 12, 14, 17, 30, 32)",12
"(2, 5, 7, 14, 17, 18, 20)",17
"(1, 7, 12, 14, 17)",1
"(7, 12, 14, 17, 28, 30)",12
